"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\slices\user.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 4, 44
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\redux\store.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\AdminScreen.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 1, 7, 62
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\CartScreen.jsx", "JavaScript JSX", 0, 87, 0, 0, 0, 0, 0, 6, 93
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\CheckoutScreen.jsx", "JavaScript JSX", 0, 32, 0, 0, 0, 0, 1, 4, 37
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\LandingScreen.jsx", "JavaScript JSX", 0, 79, 0, 0, 0, 0, 0, 3, 82
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\LoginScreen.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 2, 9, 109
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ProductScreen.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 3, 7, 123
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ProductsScreen.jsx", "JavaScript JSX", 0, 87, 0, 0, 0, 0, 0, 7, 94
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\RegisterScreen.jsx", "JavaScript JSX", 0, 94, 0, 0, 0, 0, 1, 7, 102
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\ServicesScreen.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\client\src\screens\YourOrdersScreen.jsx", "JavaScript JSX", 0, 98, 0, 0, 0, 0, 0, 5, 103
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\authenticateMiddleware\authMiddleware.js", "JavaScript", -31, 0, 0, 0, 0, 0, 0, -8, -39
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\database.js", "JavaScript", -15, 0, 0, 0, 0, 0, -1, -5, -21
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\index.js", "JavaScript", -83, 0, 0, 0, 0, 0, -1, -15, -99
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Cart.js", "JavaScript", -43, 0, 0, 0, 0, 0, -1, -6, -50
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Order.js", "JavaScript", -36, 0, 0, 0, 0, 0, 0, -3, -39
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\Product.js", "JavaScript", -41, 0, 0, 0, 0, 0, 0, -4, -45
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\models\User.js", "JavaScript", -36, 0, 0, 0, 0, 0, 0, -5, -41
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\cartRoutes.js", "JavaScript", -92, 0, 0, 0, 0, 0, -6, -25, -123
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\orderRoutes.js", "JavaScript", -55, 0, 0, 0, 0, 0, -2, -9, -66
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\productRoutes.js", "JavaScript", -73, 0, 0, 0, 0, 0, 0, -9, -82
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\uploadRoutes.js", "JavaScript", -25, 0, 0, 0, 0, 0, 0, -9, -34
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\routes\userRoutes.js", "JavaScript", -80, 0, 0, 0, 0, 0, -1, -13, -94
"c:\Users\Tsags\OneDrive\Υπολογιστής\techlines\server\socketMain.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 530, 2596, 19614, 38, 16, 12, 19, 225, 23050
